,STATE,VE_TOTAL,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,DAY_WEEK,ROUTE,MAN_COLL,RELJCT1,RELJCT2,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER,FATALS,DRUNK_DR,HARM_EV_RED,HR_RANGE
1785,5,1,0,0,0,2,2,5,2,0,0,1,0,1,1,1,1,0,2,3
1786,5,2,0,0,0,2,2,5,4,6,0,8,0,1,1,1,1,0,1,5
1787,5,1,0,0,0,2,2,1,3,0,0,1,0,1,2,1,1,1,0,1
1788,5,2,0,0,0,4,4,1,3,2,0,1,0,1,1,1,1,1,1,3
1789,5,2,0,0,0,2,2,2,2,6,0,2,0,1,2,1,1,0,1,2
1790,5,1,0,1,1,1,1,3,2,0,0,1,0,1,1,1,1,0,3,3
1791,5,1,0,1,1,1,1,3,2,0,0,2,0,1,3,1,1,0,3,1
1792,5,1,0,0,0,1,1,3,2,0,0,1,1,4,1,1,1,0,6,5
1793,5,2,0,0,0,2,2,4,2,2,0,1,0,1,1,10,1,0,1,3
1794,5,2,0,0,0,2,2,5,4,2,0,1,0,1,1,1,1,0,1,3
1795,5,1,0,0,0,1,1,5,2,0,0,1,0,4,5,1,1,1,6,5
1796,5,2,0,0,0,4,4,5,4,6,0,1,0,1,2,1,1,0,1,6
1797,5,1,0,0,0,1,1,6,1,0,0,1,0,4,1,2,1,0,0,3
1798,5,4,0,0,0,9,9,6,1,1,0,1,0,1,1,10,1,0,1,4
1799,5,1,0,2,2,1,1,6,1,0,0,1,0,1,2,1,1,0,3,5
1800,5,1,0,0,0,1,1,1,3,0,0,1,0,4,2,1,1,0,5,1
1801,5,2,0,0,0,2,2,1,3,6,0,2,0,1,2,1,1,0,1,6
1802,5,1,0,0,0,2,2,3,3,0,0,1,0,4,1,1,1,0,5,3
1803,5,2,0,0,0,3,3,3,2,6,0,2,0,1,1,1,2,0,1,5
1804,5,2,0,0,0,2,2,4,2,6,0,2,0,1,1,10,1,1,1,5
1805,5,1,0,1,1,1,1,5,2,0,0,2,0,1,2,2,1,0,3,6
1806,5,2,0,0,0,2,2,6,2,6,0,2,0,1,2,1,1,0,1,5
1807,5,1,0,0,0,1,1,7,2,0,0,1,0,4,2,1,1,1,1,2
1808,5,2,0,0,0,4,4,7,2,2,0,1,0,1,1,10,1,0,1,3
1809,5,2,0,0,0,5,5,1,1,7,0,1,0,1,1,1,1,0,1,5
1810,5,2,0,0,0,2,2,2,4,1,0,1,0,1,2,1,1,0,1,5
1811,5,1,0,1,1,1,1,3,2,0,0,1,0,1,4,1,1,0,3,2
1812,5,1,0,0,0,1,1,3,3,0,0,1,0,4,1,1,1,1,5,5
1813,5,1,0,0,0,1,1,4,4,0,0,1,0,4,1,1,1,0,0,3
1814,5,2,0,0,0,4,4,4,2,2,0,1,0,1,3,1,1,0,1,6
1815,5,2,0,0,0,2,2,5,2,6,0,2,0,1,1,1,1,0,1,5
1816,5,1,0,0,0,1,1,6,2,0,0,1,0,4,1,10,1,0,5,3
1817,5,1,0,0,0,1,1,6,1,0,0,1,0,4,1,2,1,0,6,3
1818,5,2,0,0,0,2,2,6,3,1,1,8,0,1,1,2,1,0,1,4
